"Department","Semester","Course Code","Course Name","L","T","P","S","C","Faculty","Enrolled_students","class_connector"
"DSAI","6","B2","Blockchain Technology","3","1","0","0","4","Dr. Rajendra H","25","12"
"DSAI","6","B2","Introduction to 5G Network","3","1","0","0","4","Dr. Jagadeesha R Bhat","25","13"
"DSAI","6","B2","Model Checking","3","1","0","0","4","Dr. Pavan","25","14"
"DSAI","6","B2","Quantum Communication","3","1","0","0","4","Dr. Aswath B","25","15"
"DSAI","6","B2","Quantum HPC and AI","3","1","0","0","4","Dr. Manish M (Dr. Aswath)","25","16"
"DSAI","6","B2","Design Thinking and Innovation","3","1","0","0","4","Dr. Sandesh P","25","17"
"ECE","2","-","Linear Algebra","3","1","0","0","2","Dr. Somen Bhattacharjee","70",""
"ECE","2","-","English Language and Communication","3","0","0","0","3","Dr. Rajesh N S","70",""
"ECE","2","-","Data Structures and Algorithms","3","0","2","0","4","Dr. Prabhu Prasad","70",""
"ECE","2","-","Network Analysis","2","1","0","0","3","Dr. Sibasankar Padhy","70",""
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Design","1.50","1","0","0","2","Dr. Sandesh P","25","1"
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Personal Finance","1.50","1","0","0","2","Dr. Siddharth","25","2"
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Internet of Things","1.50","1","0","0","2","Dr Jagadeesha Bhat","25","3"
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Concurrency and Computation","1.50","1","0","0","2","Dr Pramod Y","25","4"
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Computer Intensive Statistical Methods","1.50","1","0","0","2","Dr Ramesh Athe","25","5"
"ECE","2","B1(ASD151/HS151/New/New/New/New)","Industry Insights Program Part 1","1.50","1","0","0","2","Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan","25","6"
"ECE","4","MA208","Probability and Random Processes","3","1","0","0","4","Dr. Rajib Sharma","70",""
"ECE","4","EC205","Control Systems","3","0","2","0","4","Dr. Pankaj Kumar","70",""
"ECE","4","EC310","Embedded Systems Design","3","1","0","0","4","Dr. Prakash Pawar","70",""
"ECE","4","EC204","Analog and Digital Communication","3","1","2","0","5","Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab)","70",""
"ECE","4","HS204","Economics","3","1","0","0","4","Dr. Anushree Kini","70",""
"ECE","4","HS205","Ethics","3","0","0","0","3","Dr. Jolly Thomas IIT Dharwad","70","7"
"ECE","6","CS307","Machine Learning","3","0","2","0","4","Dr. Girish GN","70",""
"ECE","6","B1","Deep Learning for Computer Vision","3","1","0","0","4","Chinmayanand","25","8"
"ECE","6","B1","Large Language Models","3","1","0","0","4","Dr. Sunil S","25","9"
"ECE","6","B1","Natural Language Processing","3","1","0","0","4","Dr. Krishnendu","25","10"
"ECE","6","B1","Deep Speech Processing","3","1","0","0","4","Dr. Pankaj Kumar and Dr. Rajesh Kumar","25","11"
"ECE","6","B1","CMOS RF Circuit Design","3","1","0","0","4","Prof. SRM Prasanna","25","12"
"ECE","6","B2","Blockchain Technology","3","1","0","0","4","Dr. Rajendra H","25","13"
"ECE","6","B2","Introduction to 5G Network","3","1","0","0","4","Dr. Jagadeesha R Bhat","25","14"
"ECE","6","B2","Model Checking","3","1","0","0","4","Dr. Pavan","25","15"
"ECE","6","B2","Quantum Communication","3","1","0","0","4","Dr. Aswath B","25","16"
"ECE","6","B2","Quantum HPC and AI","3","1","0","0","4","Dr. Manish M (Dr. Aswath)","25","17"
"ECE","6","B2","Design Thinking and Innovation","3","1","0","0","4","Dr. Sandesh P","25","18"
"ECE","6","B3","Automotive Embedded and Multimedia Systems","3","1","0","0","4","Mr. Jagadeesh K (Dr Sibasankar Padhy)","25","19"
"ECE","6","B3","Microwave Engineering","3","1","0","0","4","Dr. Somen","25","20"
"ECE","6","B3","Computer Graphics","3","1","0","0","4","Dr. Vivekraj V K","25","21"
"ECE","6","B4","Data Analytics and Visualization","3","1","0","0","4","Dr. Sunil CK","25","24"
"ECE","6","B4","Statistics for Health Technology","3","1","0","0","4","Dr. Ramesh Athe","25","25"
"ECE","6","B4","Medical Image Analysis","3","1","0","0","4","Dr. Girish GN","25","26"
"ECE","6","B4","Bioinformatics","3","1","0","0","4","Dr. Sunil Kumar PV","25","27"
"ECE","6","Mini Project 1","Mini Project 1","0","0","0","8","2","Pramod Yelmewad and Animesh Roy""","70",""
"ECE","8","EC499","Major Project","0","0","0","32","8","-","70",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
